Japon,Tokyo
Mexique,Mexico
Corée du Sud,Séoul
Indonésie,Jakarta
Inde,New Delhi
Égypte,Le Caire
Russie,Moscou
Argentine,Buenos Aires
Philippines,Manille
Royaume-Uni,Londres
Bangladesh,Dhâkâ
France,Paris
Chine,Pékin
Thaïlande,Bangkok
Pérou,Lima
Portugal,Lisbonne
Iran,Téhéran
République démocratique du Congo,Kinshasa
Chili,Santiago
Espagne,Madrid
Birmanie,Naypyidaw
Syrie,Damas
Singapour,Singapour
Turquie,Ankara
Angola,Luanda
Irak,Bagdad
Arabie saoudite,Riyad
Venezuela,Caracas
Grèce,Athènes
Allemagne,Berlin
Ghana,Accra
Viêt Nam,Hanoï
Ukraine,Kiev
Italie,Rome
Éthiopie,Addis-Abeba
Guatemala,Guatemala
Corée du Nord,Pyongyang
Ouzbékistan,Tachkent
République dominicaine,Saint-Domingue
Brésil,Brasilia
Kenya,Nairobi
Costa Rica,San José
Tunisie,Tunis
Algérie,Alger
Roumanie,Bucarest
Hongrie,Budapest
Guinée,Conakry
Cuba,La Havane
Haïti,Port-au-Prince
Sénégal,Dakar
Jordanie,Amman
Colombie,Bogota
Suède,Stockholm
Afghanistan,Kaboul
Azerbaïdjan,Bakou
Salvador,San Salvador
Biélorussie,Minsk
Pologne,Varsovie
Autriche,Vienne
Kazakhstan,Astana
Zimbabwe,Harare
Népal,Katmandou
Soudan,Khartoum
Uruguay,Montevideo
Équateur,Quito
Madagascar,Tananarive
Sri Lanka,Colombo
Malaisie,Kuala Lumpur
Arménie,Erevan
Libye,Tripoli
Cambodge,Phnom Penh
Bulgarie et belgique,Sofia et bruxelles
Serbie,Belgrade
Somalie,Mogadiscio
République tchèque,Prague
Honduras,Tegucigalpa
Cameroun,Yaoundé
Mozambique,Maputo
Géorgie,Tbilissi
Afrique du Sud,Pretoria
Ouganda,Kampala
Canada,Ottawa
Émirats arabes unis,Abou Dabi
Mali,Bamako
Liban,Beyrouth
Zambie,Lusaka
Nicaragua,Managua
Tchad,Ndjamena
Burkina Faso,Ouagadougou
Yémen,Sanaa
Oman,Mascate
Togo,Lomé
Panama,Panama
République du Congo,Brazzaville
Pakistan,Islamabad
Rwanda,Kigali
Croatie,Zagreb
Israël,Jerusalem
Libéria,Monrovia
Lettonie,R?ga
Pays-Bas,Amsterdam
Niger,Niamey
Albanie,Tirana
Mongolie,Oulan-Bator
République centrafricaine,Bangui
Gabon,Libreville
Moldavie,Chisinau
Maroc,Rabat
Laos,Vientiane
Jamaïque,Kingston
Kirghizistan,Bichkek
Turkménistan,Achgabat
Macédoine,Skopje
États-Unis,Washington
Finlande,Helsinki
Mauritanie,Nouakchott
Lituanie,Vilnius
Sierra Leone,Freetown
Paraguay,Asuncion
Norvège,Oslo
Tadjikistan,Douchanbé
Danemark,Copenhague
Irlande,Dublin
Érythrée,Asmara
Slovaquie,Bratislava
Koweït,Koweït
Malawi,Lilongwe
Estonie,Tallinn
Bosnie-Herzégovine,Sarajevo
Djibouti,Djibouti
Qatar,Doha
Nouvelle-Zélande,Wellington
Australie,Canberra
Papouasie-Nouvelle-Guinée,Port Moresby
Burundi,Bujumbura
Trinité-et-Tobago,Port-d'Espagne
Bénin,Porto-Novo
Bolivie,Sucre (Bolivie)
Guinée-Bissau,Bissau
Slovénie,Ljubljana
Guyana,Georgetown
Suriname,Paramaribo
Namibie,Windhoek
Bahamas,Nassau
Chypre,Nicosie
Tanzanie,Dodoma
Botswana,Gaborone
Lesotho,Maseru
Fidji,Suva
Bahreïn,Manama
Maurice,Port-Louis
Monténégro,Podgorica
Suisse,Berne
Islande,Reykjavik
Côte d'Ivoire,Yamoussoukro
Cap-Vert,Praia
Nigeria,Abuja
Brunei,Bandar Seri Begawan
Luxembourg,Luxembourg
Maldives,Malé
Sainte-Lucie,Castries
Timor oriental,Dili
Comores,Moroni
Swaziland,Mbabane
Bhoutan,Thimphou
Guinée équatoriale,Malabo
Sao Tomé-et-Principe,São Tomé
Gambie,Banjul
Samoa,Apia
Tonga,Nuku'alofa
Grenade,Saint-Georges
Monaco,Monaco
Salomon,Honiara
Vanuatu,Port-Vila
Antigua-et-Barbuda,Saint John's
Kiribati,Tarawa
Seychelles,Victoria
Marshall,Delap-Uliga-Darrit
Andorre,Andorre-la-Vieille
Saint-Vincent-et-les Grenadines,Kingstown
Dominique,Roseau
Saint-Christophe-et-Niévès,Basseterre
Micronésie,Palikir
Belize,Belmopan
Malte,La Valette
Barbade,Bridgetown
Liechtenstein,Vaduz
Tuvalu,Funafuti
Saint-Marin,Ville de Saint-Marin
Saint-Siège,Cité du Vatican
Palaos,Melekeok
